idea,date,media_type,media_creation,theme,user_number
"맞춤 영상 제공 (영상 자체가 내가 좋아하는 영상과 나의 운전상황 (주행, 제동 등)과 결합하여 실시간으로 나만을 위한 영상이 제공됨",7/17 토 11-13,video,consumer,recommendation,
잠을 깨기 위한 햅틱 피드백,7/16 금-2 19-21,haptic,consumer,drive-experience,
119 자동연락 + 주변 차량에 도로 상황 안내 + 블랙박스 영상 자동 전송,7/17 토 11-13,info,consumer,drive-experience,
아이스브레이킹,7/16 금 13-15,none,,,
"차량 앞,뒤, 좌우의 화면 공유",7/16 금 13-15,video,consumer,in-car share,multiple
탑승자와 같이 유투브 영상보기,7/14 수 20-22,video,consumer,in-car share,multiple
서로 오디오를 연결하여 같은 차를 탄 것처럼 대화 지원,7/16 금 13-15,audio,consumer,car-to-car,multiple
주변 차량과의 감정 소통(no 대화),7/16 금 13-15,video,creator,car-to-car,multiple
불편/불쾌하게 다가올 수 있는 차량의 움직임을 게임요소로 활용하는 경험 (급감속이 말이 되는 context를 제공),7/15 목 15-17,game,consumer,car-to-car,multiple
그룹이 공감할 수 있는 컨텐츠 선택을 위한 투표/구성원의 의견 표현 등 공유 미디어 선택 조율,7/15 목 15-17,service,creator,"in-car share,recommendation",multiple
생소한 사람을 알아갈 수 있는 20문20답 보조,7/15 목 15-17,service,consumer,in-car share,multiple
같은 게임하기,7/14 수 20-22,game,consumer,in-car share,multiple
차대차 게임,7/17 토 11-13,game,consumer,car-to-car,multiple
플레이 타임이 짧은  Ar 게임,7/15 목 15-17,"AR/VR,game",consumer,entertainment,multiple
영화 관람이나 VR게임과 같은 참여형 게임,7/15 목 15-17,"AR/VR,game",consumer,in-car share,multiple
어색함을 깰 수 있는 정도의 킬링타임용 아주 간단한 미니게임 (피카츄배구 수준),7/15 목 15-17,game,consumer,entertainment,multiple
운전자/조수석에 앉은 사람과 뒷좌석이 서로 핑퐁하며 주고받는 시각효과(?) 댕댕이가 좋아할지도,7/15 목 15-17,video,creator,in-car share,multiple
차량의 움직임과 결합된 VR게임,7/17 토 11-13,"AR/VR,game",consumer,entertainment,
레이싱게임,7/17 토 11-13,game,consumer,entertainment,
대전 또는 협업게임,7/17 토 11-13,game,consumer,entertainment,multiple
진지한 대화,7/16 금 13-15,none,none,none,none
조용한 대화,7/16 금 13-15,none,none,none,none
프라이빗한 대화,7/13 화 20-22,none,none,none,none
운동,7/16 금 13-15,none,none,none,none
그림그리기,7/16 금-2 19-21,none,none,none,none
나만의 비서 (자비스),7/17 토 11-13,none,none,none,none
레슨 수강,7/16 금-2 19-21,none,none,none,none
쇼핑,7/16 금-2 19-21,none,none,none,none
포스트 아이폰,7/13 화 20-22,none,none,none,none
장보기,7/16 금-2 19-21,none,none,none,none
종교활동,7/16 금-2 19-21,none,none,none,none
원격 진료,7/16 금-2 19-21,none,none,none,none
악기 연주,7/16 금-2 19-21,none,none,none,none
태양광판넬활용 -에너지변환,7/17 토 11-13,none,none,none,none
차량 피팅룸,7/16 금-2 19-21,none,none,none,none
촉각혹은 후각 경험 제공 (차안에 존재),7/17 토 11-13,none,none,none,none
체크인,7/17 토 11-13,none,none,none,none
스트레스 해소,7/16 금 13-15,none,none,none,none
iot접목,7/17 토 11-13,none,none,none,none
